block,timestamp,amount0,amount1,sqrtPriceX96,liquidity,tick
25587656,1784715851,119968071,-62320182246800435,1806215915187431444174182473195152,14459522771684228697,200698
25587657,1784715863,-5769257733,3000000000000000000,1806232344889092431305174325317234,14459522771684228697,200698
25587659,1784715887,1128334,-586149251168814,1806232341677400810323140595576598,14459522771684228697,200698
25587665,1784715959,26579714212,-13807116077931500739,1806156688453750396080346809411348,14459561452801082327,200697
25587665,1784715959,5222084185,-2712531394132330967,1806141825701597029178923573226696,14459561452801082327,200697
25587668,1784716007,5746031595,-2984636240957170184,1806125472007474534914044459768402,14459561452801082327,200697
25587668,1784716007,-66063599,34349161810780494,1806125660122464921380220554923220,14459561452801082327,200697
25587670,1784716031,41271883069,-21436091264077508420,1806008205514461444562085182630212,14459561452801082327,200695
25587671,1784716043,25903719219,-13452638360965502324,1805934494577806326916851881457916,14459561452801082327,200695
25587672,1784716055,40067337378,-20806100131307325697,1805820491875312750085800452497841,14459561452801082327,200693
25587672,1784716055,1085040000,-563401230523001658,1805817404835335893399902155442142,14459561452801082327,200693
25587675,1784716091,-199623265755,103789528416000000000,1806385814296433183429424103391120,14458947880708612889,200700
25587675,1784716091,218403470584,-113437000173070656078,1805764259171856285259258988256024,14459561452801082327,200693
25587675,1784716091,26426834989,-13720590682362502858,1805689080046132293507250809368816,14459561452801082327,200692
25587676,1784716103,61263392348,-31803044872837600382,1805514821869917308293431294693667,14459561452801082327,200690
25587677,1784716115,102741056320,-53321148055391709629,1805222658808873559456414537626358,14459507741983535502,200687
25587678,1784716127,52996151111,-27497503390315342008,1805071991392926964835642517927335,14459507741983535502,200685
25587689,1784716259,21643818390,-11228759081048421426,1805010465512158302717646152381945,14459507741983535502,200684
25587689,1784716259,7838394275,-4066350626485508111,1804988184706060060007430054937713,14459507741983535502,200684
25587691,1784716283,120044,-62274360419226,1804988184364839374227049373390553,14459507741983535502,200684
25587691,1784716283,56647,-29385934224400,1804988184203824655475298344534996,14459507741983535502,200684
25587696,1784716343,1061855,-550855314192572,1804988181185516208640968729901733,14459507741983535502,200684
25587713,1784716547,-849241579,441000000000000000,1804990595315998022296941495434613,14465725909197885359,200684
25587725,1784716691,22933926021,-11896966726287043241,1804925436137735302789616217130337,14465725909197885359,200683
25587726,1784716703,-4259537,2211764999468376,1804925448245420798991813809160897,14465725909197885359,200683
25587733,1784716799,-653281,339216214452960,1804925450102364570502760565728893,14465725909197885359,200683
25587739,1784716871,24608397,-12765136463065184,1804925380188257766541545022757351,14465725909197885359,200683
